country,tradeUSD
Algeria,1797931.0
Argentina,10966.0
Australia,482838.0
Austria,3431995.41719459
Azerbaijan,20884.0
Bahamas,420.0
Bahrain,1.0
Bangladesh,2665.0
Barbados,34.0
Belarus,1399.0
Belgium,26817162.3850029
Belgium-Luxembourg,4626201.0
Benin,9809228.0
Bhutan,2368.0
Bolivia (Plurinational State of),170.0
Bosnia Herzegovina,2042.0
Botswana,28888.0
Brazil,557529702.0
Brunei Darussalam,347.216709848
Bulgaria,1302029.12543024
Burkina Faso,26.0
Burundi,1373957.143405
Cambodia,108769968.0
Cameroon,41332327.3952
Canada,535825.3496972
Chile,200.0
China,12560289.0
"China, Hong Kong SAR",93678893.0
Colombia,2435562523.9300003
Costa Rica,1449292157.0
Croatia,488781.0
Czech Rep.,1316464.0
C̫te d'Ivoire,657132760.0
Denmark,4952844.01122
Djibouti,683857.0
Dominican Rep.,1234201.95
EU-28,44488958.526111156
Ecuador,1875972511.58
Egypt,33419611.950239033
El Salvador,2625783.76
Estonia,193766.42831492
Fiji,3425961.297024
Finland,6845.129772
Fmr Fed. Rep. of Germany,2161000.0
Fmr Sudan,1.0
France,12337554.9704873
French Polynesia,2669.0
Gabon,14794044.0
Gambia,7558.0
Georgia,32659.61
Germany,296030590.901605
Ghana,136970594.52443016
Greece,6973484.607242
Guatemala,2004505539.0
Guinea,5489196.0
Guinea-Bissau,5213.0
Guyana,4048.0
Honduras,1651718099.32
Hungary,117271.0
Iceland,326.0
India,6087276.88835406
Indonesia,72817402271.98999
Ireland,7533945.068957901
Israel,22000.0
Italy,30559706.263058998
Japan,691028.0
Jordan,14860490.180205
Kazakhstan,76275.0
Kenya,28825904.6296447
Kuwait,103251.0
Kyrgyzstan,290.0
Latvia,191309.24610574
Lebanon,61936.0
Lithuania,74793.0
Luxembourg,21612.142367436998
Madagascar,6163167.02022167
Malaysia,32733820442.645058
Mali,1041251.481947
Malta,143.0
Mauritius,277.0
Mexico,1875057.0
Morocco,100595.0
Mozambique,12600976.629999999
Myanmar,13618.8
Namibia,87263.0
Netherlands,1533975423.616797
New Zealand,3420.0
Nicaragua,150347272.78
Niger,1028504.0
Nigeria,14541963.3379319
Norway,42079.0
Oman,957042.45266
"Other Asia, nes",846798.0
Panama,47148742.0
Papua New Guinea,1866576947.0
Paraguay,1529498.0
Peru,137804964.94
Philippines,161189624.0
Poland,2737820.0
Portugal,2249465.87373332
Qatar,23713.0
Romania,471631.0
Russian Federation,455417.0
Rwanda,32647.0
Samoa,45375.0
Sao Tome and Principe,3519.0
Saudi Arabia,1657391.04
Senegal,3767201.37640993
Serbia,13225.0
Sierra Leone,1468781.68289573
Singapore,109991576.90943016
Slovakia,58117.0
Slovenia,51032.520000000004
So. African Customs Union,1288548.0
Solomon Isds,125269782.9800145
South Africa,7981876.443024721
Spain,65128858.49003313
Sri Lanka,34364986.0
Suriname,9253.92
Swaziland,32080.0
Sweden,7459080.351439999
Switzerland,97846.49455968
Syria,9822.0
TFYR of Macedonia,141839.88
Thailand,1753178413.0
Togo,12395404.269813899
Tunisia,227099.0
Turkey,4189114.0
USA,57985174.0
Uganda,3917584.0
Ukraine,123558.43
United Arab Emirates,30912382.0
United Kingdom,108654787.3626322
United Rep. of Tanzania,12861472.0
Venezuela,1281673.0
Viet Nam,1916210.0
Yemen,52104.0
Zambia,123221.21
Zimbabwe,55.0
